20:29:14 INFO  application.ApplicationManager - Start browser CHROME
20:29:15 INFO  tests.TestBase - ==================================
20:29:15 INFO  tests.TestBase - Start on method - addContactTestBase
20:29:15 INFO  tests.TestBase - Start test with Data - []
20:29:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:29:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:29:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:29:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:29:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:29:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:29:15 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
20:29:16 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
20:29:16 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
20:29:16 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
20:29:16 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
20:29:16 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
20:29:17 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
20:29:17 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
20:29:17 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Name']
20:29:17 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Name'] was found
20:29:17 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Last Name']
20:29:17 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Last Name'] was found
20:29:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Phone']
20:29:18 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Phone'] was found
20:29:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='email']
