20:36:14 INFO  application.ApplicationManager - Start browser CHROME
20:36:15 INFO  tests.TestBase - ==================================
20:36:15 INFO  tests.TestBase - Start on method - addContactTestBase
20:36:15 INFO  tests.TestBase - Start test with Data - []
20:36:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:36:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:36:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:36:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:36:15 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:36:15 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:36:16 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Email']
20:36:16 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Email'] was found
20:36:16 INFO  application.MyListener - Start find element by --> By.xpath: //input[@placeholder='Password']
20:36:16 INFO  application.MyListener - The element --> By.xpath: //input[@placeholder='Password'] was found
20:36:16 INFO  application.MyListener - Start find element by --> By.xpath: //button[.=' Login']
20:36:16 INFO  application.MyListener - The element --> By.xpath: //button[.=' Login'] was found
20:36:17 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
20:36:18 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
20:36:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Name']
20:36:18 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Name'] was found
20:36:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Last Name']
20:36:18 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Last Name'] was found
20:36:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Phone']
20:36:18 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Phone'] was found
20:36:18 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='email']
20:36:19 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='email'] was found
20:36:19 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Address']
20:36:19 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Address'] was found
20:36:19 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='description']
20:36:19 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='description'] was found
20:36:20 INFO  application.MyListener - Start find element by --> By.xpath: //h3
20:36:21 INFO  application.MyListener - The element --> By.xpath: //h3 was found
20:36:21 INFO  tests.TestBase - End off method - addContactTestBase
20:36:21 INFO  tests.TestBase - ==================================
20:36:21 INFO  tests.TestBase - Start on method - addContactTestBase
20:36:21 INFO  tests.TestBase - Start test with Data - []
20:36:21 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:36:24 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:36:24 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
20:36:24 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
20:36:24 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Name']
20:36:24 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Name'] was found
20:36:24 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Last Name']
20:36:24 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Last Name'] was found
20:36:24 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Phone']
20:36:24 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Phone'] was found
20:36:24 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='email']
20:36:24 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='email'] was found
20:36:25 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Address']
20:36:25 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Address'] was found
20:36:25 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='description']
20:36:25 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='description'] was found
20:36:26 INFO  application.MyListener - Start find element by --> By.xpath: //h3
20:36:29 INFO  application.MyListener - The element --> By.xpath: //h3 was found
20:36:29 INFO  tests.TestBase - End off method - addContactTestBase
20:36:29 INFO  tests.TestBase - ==================================
20:36:29 INFO  tests.TestBase - Start on method - addContactTestBase
20:36:29 INFO  tests.TestBase - Start test with Data - []
20:36:29 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='LOGIN']
20:36:32 INFO  application.MyListener - The element --> By.xpath: //a[.='LOGIN'] was found
20:36:32 INFO  application.MyListener - Start find element by --> By.xpath: //a[.='ADD']
20:36:32 INFO  application.MyListener - The element --> By.xpath: //a[.='ADD'] was found
20:36:32 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Name']
20:36:32 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Name'] was found
20:36:32 INFO  application.MyListener - Start find element by --> By.cssSelector: input[placeholder='Last Name']
20:36:33 INFO  application.MyListener - The element --> By.cssSelector: input[placeholder='Last Name'] was found
